nature,nuance,conductor,layer,d_strand,n_strand
ALMELEC,AL4,AAAC1055,1,0.00334,1
ALMELEC,AL4,AAAC1055,2,0.00334,6
ALMELEC,AL4,AAAC1055,3,0.00334,12
ALMELEC,AL4,AAAC1055,4,0.00334,18
ALMELEC,AL4,AAAC1055,5,0.00334,24
ALMELEC,AL4,AAAC823,1,0.00379,1
ALMELEC,AL4,AAAC823,2,0.00379,6
ALMELEC,AL4,AAAC823,3,0.00379,12
ALMELEC,AL4,AAAC823,4,0.00379,18
ALMELEC,AL4,AAAC900,1,0.00396,1
ALMELEC,AL4,AAAC900,2,0.00396,6
ALMELEC,AL4,AAAC900,3,0.00396,12
ALMELEC,AL4,AAAC900,4,0.00396,18
ALMELEC,AL4,ASTER1144,1,0.004,1
ALMELEC,AL4,ASTER1144,2,0.004,6
ALMELEC,AL4,ASTER1144,3,0.004,12
ALMELEC,AL4,ASTER1144,4,0.004,18
ALMELEC,AL4,ASTER1144,5,0.004,24
ALMELEC,AL4,ASTER1144,6,0.004,30
ALMELEC,AL4,ASTER148,1,0.00315,1
ALMELEC,AL4,ASTER148,2,0.00315,6
ALMELEC,AL4,ASTER148,3,0.00315,12
ALMELEC,AL4,ASTER1600,1,0.004,1
ALMELEC,AL4,ASTER1600,2,0.004,6
ALMELEC,AL4,ASTER1600,3,0.004,12
ALMELEC,AL4,ASTER1600,4,0.004,18
ALMELEC,AL4,ASTER1600,5,0.004,24
ALMELEC,AL4,ASTER1600,6,0.004,30
ALMELEC,AL4,ASTER1600,7,0.004,36
ALMELEC,AL4,ASTER181.6,1,0.0025,1
ALMELEC,AL4,ASTER181.6,2,0.0025,6
ALMELEC,AL4,ASTER181.6,3,0.0025,12
ALMELEC,AL4,ASTER181.6,4,0.0025,18
ALMELEC,AL4,ASTER228,1,0.0028,1
ALMELEC,AL4,ASTER228,2,0.0028,6
ALMELEC,AL4,ASTER228,3,0.0028,12
ALMELEC,AL4,ASTER228,4,0.0028,18
ALMELEC,AL4,ASTER288,1,0.00315,1
ALMELEC,AL4,ASTER288,2,0.00315,6
ALMELEC,AL4,ASTER288,3,0.00315,12
ALMELEC,AL4,ASTER288,4,0.00315,18
ALMELEC,AL4,ASTER366,1,0.00355,1
ALMELEC,AL4,ASTER366,2,0.00355,6
ALMELEC,AL4,ASTER366,3,0.00355,12
ALMELEC,AL4,ASTER366,4,0.00355,18
ALMELEC,AL4,ASTER475,1,0.00315,1
ALMELEC,AL4,ASTER475,2,0.00315,6
ALMELEC,AL4,ASTER475,3,0.00315,12
ALMELEC,AL4,ASTER475,4,0.00315,18
ALMELEC,AL4,ASTER475,5,0.00315,24
ALMELEC,AL4,ASTER570,1,0.00345,1
ALMELEC,AL4,ASTER570,2,0.00345,6
ALMELEC,AL4,ASTER570,3,0.00345,12
ALMELEC,AL4,ASTER570,4,0.00345,18
ALMELEC,AL4,ASTER570,5,0.00345,24
ALMELEC,AL4,ASTER851,1,0.00345,1
ALMELEC,AL4,ASTER851,2,0.00345,6
ALMELEC,AL4,ASTER851,3,0.00345,12
ALMELEC,AL4,ASTER851,4,0.00345,18
ALMELEC,AL4,ASTER851,5,0.00345,24
ALMELEC,AL4,ASTER851,6,0.00345,30
ACIER,ST6C,BERSFORT,1,0.00332,1
ACIER,ST6C,BERSFORT,2,0.00332,6
ALU,AL1,BERSFORT,3,0.00427,10
ALU,AL1,BERSFORT,4,0.00427,16
ALU,AL1,BERSFORT,5,0.00427,22
ACIER,ST6C,BERSIMIS,1,0.00254,1
ACIER,ST6C,BERSIMIS,2,0.00254,6
ALU,AL1,BERSIMIS,3,0.004572,8
ALU,AL1,BERSIMIS,4,0.004572,14
ALU,AL1,BERSIMIS,5,0.004572,20
ACIER,ST1A,CANNA116.2,1,0.002,1
ACIER,ST1A,CANNA116.2,2,0.002,6
ALU,AL1,CANNA116.2,3,0.002,12
ALU,AL1,CANNA116.2,4,0.002,18
ACIER,ST1A,CANNA147.1,1,0.00225,1
ACIER,ST1A,CANNA147.1,2,0.00225,6
ALU,AL1,CANNA147.1,3,0.00225,12
ALU,AL1,CANNA147.1,4,0.00225,18
ACIER,ST1A,CANNA181.6,1,0.0025,1
ACIER,ST1A,CANNA181.6,2,0.0025,6
ALU,AL1,CANNA181.6,3,0.0025,12
ALU,AL1,CANNA181.6,4,0.0025,18
ACIER,ST1A,CANNA188.7,1,0.00255,1
ACIER,ST1A,CANNA188.7,2,0.00255,6
ALU,AL1,CANNA188.7,3,0.00255,12
ALU,AL1,CANNA188.7,4,0.00255,18
ACIER,ST1A,CANNA210,1,0.00269,1
ACIER,ST1A,CANNA210,2,0.00269,6
ALU,AL1,CANNA210,3,0.00269,12
ALU,AL1,CANNA210,4,0.00269,18
ACIER,ST1A,CANNA228,1,0.0028,1
ACIER,ST1A,CANNA228,2,0.0028,6
ALU,AL1,CANNA228,3,0.0028,12
ALU,AL1,CANNA228,4,0.0028,18
ACIER,ST1A,CANNA238,1,0.00286,1
ACIER,ST1A,CANNA238,2,0.00286,6
ALU,AL1,CANNA238,3,0.00286,12
ALU,AL1,CANNA238,4,0.00286,18
ACIER,ST1A,CANNA288,1,0.00315,1
ACIER,ST1A,CANNA288,2,0.00315,6
ALU,AL1,CANNA288,3,0.00315,12
ALU,AL1,CANNA288,4,0.00315,18
ACIER,ST1A,CANNA294,1,0.00318,1
ACIER,ST1A,CANNA294,2,0.00318,6
ALU,AL1,CANNA294,3,0.00318,12
ALU,AL1,CANNA294,4,0.00318,18
ACIER,ST1A,CANNA356,1,0.0035,1
ACIER,ST1A,CANNA356,2,0.0035,6
ALU,AL1,CANNA356,3,0.0035,12
ALU,AL1,CANNA356,4,0.0035,18
ACIER,ST1A,CANNA366,1,0.00355,1
ACIER,ST1A,CANNA366,2,0.00355,6
ALU,AL1,CANNA366,3,0.00355,12
ALU,AL1,CANNA366,4,0.00355,18
ACIER,ST1A,CANNA398,1,0.0037,1
ACIER,ST1A,CANNA398,2,0.0037,6
ALU,AL1,CANNA398,3,0.0037,12
ALU,AL1,CANNA398,4,0.0037,18
ACIER,ST6C,CARDINAL,1,0.00334,1
ACIER,ST6C,CARDINAL,2,0.00334,6
ALU,AL1,CARDINAL,3,0.00332,12
ALU,AL1,CARDINAL,4,0.00332,18
ALU,AL1,CARDINAL,5,0.00332,24
ACIER,ST6C,CROCUS116.2,1,0.002,1
ACIER,ST6C,CROCUS116.2,2,0.002,6
ALU,AL1,CROCUS116.2,3,0.002,12
ALU,AL1,CROCUS116.2,4,0.002,18
ACIER,ST6C,CROCUS1195,1,0.0028,1
ACIER,ST6C,CROCUS1195,2,0.0028,6
ACIER,ST6C,CROCUS1195,3,0.0028,12
ACIER,ST6C,CROCUS1195,4,0.0028,18
ALU,AL1,CROCUS1195,5,0.0028,24
ALU,AL1,CROCUS1195,6,0.0028,30
ALU,AL1,CROCUS1195,7,0.0035,30
ALU,AL1,CROCUS1195,8,0.0035,36
ACIER,ST6C,CROCUS147.1,1,0.00225,1
ACIER,ST6C,CROCUS147.1,2,0.00225,6
ALU,AL1,CROCUS147.1,3,0.00225,12
ALU,AL1,CROCUS147.1,4,0.00225,18
ACIER,ST6C,CROCUS181.6,1,0.0025,1
ACIER,ST6C,CROCUS181.6,2,0.0025,6
ALU,AL1,CROCUS181.6,3,0.0025,12
ALU,AL1,CROCUS181.6,4,0.0025,18
ACIER,ST6C,CROCUS188,1,0.00255,1
ACIER,ST6C,CROCUS188,2,0.00255,6
ALU,AL1,CROCUS188,3,0.00255,12
ALU,AL1,CROCUS188,4,0.00255,18
ACIER,ST6C,CROCUS210,1,0.0027,1
ACIER,ST6C,CROCUS210,2,0.0027,6
ALU,AL1,CROCUS210,3,0.0027,12
ALU,AL1,CROCUS210,4,0.0027,18
ACIER,ST6C,CROCUS228,1,0.0028,1
ACIER,ST6C,CROCUS228,2,0.0028,6
ALU,AL1,CROCUS228,3,0.0028,12
ALU,AL1,CROCUS228,4,0.0028,18
ACIER,ST6C,CROCUS288,1,0.00315,1
ACIER,ST6C,CROCUS288,2,0.00315,6
ALU,AL1,CROCUS288,3,0.00315,12
ALU,AL1,CROCUS288,4,0.00315,18
ACIER,ST6C,CROCUS297,1,0.00225,1
ACIER,ST6C,CROCUS297,2,0.00225,6
ACIER,ST6C,CROCUS297,3,0.00225,12
ALU,AL1,CROCUS297,4,0.0028,15
ALU,AL1,CROCUS297,5,0.0028,21
ACIER,ST6C,CROCUS301,1,0.0023,1
ACIER,ST6C,CROCUS301,2,0.0023,6
ACIER,ST6C,CROCUS301,3,0.0023,12
ALU,AL1,CROCUS301,4,0.0028,15
ALU,AL1,CROCUS301,5,0.0028,21
ACIER,ST6C,CROCUS412,1,0.0024,1
ACIER,ST6C,CROCUS412,2,0.0024,6
ACIER,ST6C,CROCUS412,3,0.0024,12
ALU,AL1,CROCUS412,4,0.0036,13
ALU,AL1,CROCUS412,5,0.0036,19
ACIER,ST6C,CROCUS592,1,0.0019,1
ACIER,ST6C,CROCUS592,2,0.0019,6
ACIER,ST6C,CROCUS592,3,0.0019,12
ACIER,ST6C,CROCUS592,4,0.0019,18
ALU,AL1,CROCUS592,5,0.0021,22
ALU,AL1,CROCUS592,6,0.0025,28
ACIER,ST6C,CROCUS595,1,0.00192,1
ACIER,ST6C,CROCUS595,2,0.00192,6
ACIER,ST6C,CROCUS595,3,0.00192,12
ACIER,ST6C,CROCUS595,4,0.00192,18
ALU,AL1,CROCUS595,5,0.0027,18
ALU,AL1,CROCUS595,6,0.0027,24
ALU,AL1,CROCUS595,7,0.0037,23
ACIER,ST6C,CROCUS612,1,0.00265,1
ACIER,ST6C,CROCUS612,2,0.00265,6
ACIER,ST6C,CROCUS612,3,0.00265,12
ALU,AL1,CROCUS612,4,0.00313,16
ALU,AL1,CROCUS612,5,0.00313,22
ALU,AL1,CROCUS612,6,0.00313,28
ACIER,ST6C,CROCUS612_1978,1,0.00265,1
ACIER,ST6C,CROCUS612_1978,2,0.00265,6
ACIER,ST6C,CROCUS612_1978,3,0.00265,12
ALU,AL1,CROCUS612_1978,4,0.0026,18
ALU,AL1,CROCUS612_1978,5,0.0026,24
ALU,AL1,CROCUS612_1978,6,0.00424,20
ACIER,ST6C,CURLEW,1,0.00351,1
ACIER,ST6C,CURLEW,2,0.00351,6
ALU,AL1,CURLEW,3,0.00351,12
ALU,AL1,CURLEW,4,0.00351,18
ALU,AL1,CURLEW,5,0.00351,24
ACIER,ST6C,DRAKE,1,0.00345,1
ACIER,ST6C,DRAKE,2,0.00345,6
ALU,AL1,DRAKE,3,0.00444,10
ALU,AL1,DRAKE,4,0.00444,16
ACIER,ST6C,IBIS,1,0.00244,1
ACIER,ST6C,IBIS,2,0.00244,6
ALU,AL1,IBIS,3,0.00313,10
ALU,AL1,IBIS,4,0.00313,16
ALU,AL1,ORCHID,1,0.00333,1
ALU,AL1,ORCHID,2,0.00333,6
ALU,AL1,ORCHID,3,0.00333,12
ALU,AL1,ORCHID,4,0.00333,18
ACIER,ST6C,PASTEL147.1,1,0.00225,1
ACIER,ST6C,PASTEL147.1,2,0.00225,6
ALMELEC,AL4,PASTEL147.1,3,0.00225,12
ALMELEC,AL4,PASTEL147.1,4,0.00225,18
ACIER,ST6C,PASTEL181.6,1,0.0025,1
ACIER,ST6C,PASTEL181.6,2,0.0025,6
ALMELEC,AL4,PASTEL181.6,3,0.0025,12
ALMELEC,AL4,PASTEL181.6,4,0.0025,18
ACIER,ST6C,PASTEL228,1,0.0028,1
ACIER,ST6C,PASTEL228,2,0.0028,6
ALMELEC,AL4,PASTEL228,3,0.0028,12
ALMELEC,AL4,PASTEL228,4,0.0028,18
ACIER,ST6C,PASTEL288,1,0.00315,1
ACIER,ST6C,PASTEL288,2,0.00315,6
ALMELEC,AL4,PASTEL288,3,0.00315,12
ALMELEC,AL4,PASTEL288,4,0.00315,18
ACIER,ST6C,PASTEL299,1,0.0025,1
ACIER,ST6C,PASTEL299,2,0.0025,6
ACIER,ST6C,PASTEL299,3,0.0025,12
ALMELEC,AL4,PASTEL299,4,0.0025,18
ALMELEC,AL4,PASTEL299,5,0.0025,24
ACIER,ST6C,PASTEL366,1,0.00355,1
ACIER,ST6C,PASTEL366,2,0.00355,6
ALMELEC,AL4,PASTEL366,3,0.00355,12
ALMELEC,AL4,PASTEL366,4,0.00355,18
ACIER,ST6C,PASTEL412,1,0.0024,1
ACIER,ST6C,PASTEL412,2,0.0024,6
ACIER,ST6C,PASTEL412,3,0.0024,12
ALMELEC,AL4,PASTEL412,4,0.0036,13
ALMELEC,AL4,PASTEL412,5,0.0036,19
ACIER,ST6C,PASTEL933,1,0.0028,1
ACIER,ST6C,PASTEL933,2,0.0028,6
ACIER,ST6C,PASTEL933,3,0.0028,12
ACIER,ST6C,PASTEL933,4,0.0028,18
ACIER,ST6C,PASTEL933,5,0.0028,24
ALMELEC,AL4,PASTEL933,6,0.00315,28
ALMELEC,AL4,PASTEL933,7,0.004,27
ACIER,ST6C,PETUNIA595,1,0.00192,1
ACIER,ST6C,PETUNIA595,2,0.00192,6
ACIER,ST6C,PETUNIA595,3,0.00192,12
ACIER,ST6C,PETUNIA595,4,0.00192,18
ALMELEC,AL4,PETUNIA595,5,0.0027,18
ALMELEC,AL4,PETUNIA595,6,0.0027,24
ALMELEC,AL4,PETUNIA595,7,0.0037,23
ACIER,ST6C,PETUNIA612,1,0.00265,1
ACIER,ST6C,PETUNIA612,2,0.00265,6
ACIER,ST6C,PETUNIA612,3,0.00265,12
ALMELEC,AL4,PETUNIA612,4,0.00313,16
ALMELEC,AL4,PETUNIA612,5,0.00313,22
ALMELEC,AL4,PETUNIA612,6,0.00313,28
ACIER,ST6C,PETUNIA865,1,0.00315,1
ACIER,ST6C,PETUNIA865,2,0.00315,6
ACIER,ST6C,PETUNIA865,3,0.00315,12
ALMELEC,AL4,PETUNIA865,4,0.00372,16
ALMELEC,AL4,PETUNIA865,5,0.00372,22
ALMELEC,AL4,PETUNIA865,6,0.00372,28
ACIER,ST6C,PHLOX59.7,1,0.002,1
ACIER,ST6C,PHLOX59.7,2,0.002,6
ALMELEC,AL4,PHLOX59.7,3,0.002,12
ACIER,ST6C,POLYGONUM1185,1,0.0028,1
ACIER,ST6C,POLYGONUM1185,2,0.0028,6
ACIER,ST6C,POLYGONUM1185,3,0.0028,12
ACIER,ST6C,POLYGONUM1185,4,0.0028,18
ALMELEC,AL4,POLYGONUM1185,5,0.0028,24
ALMELEC,AL4,POLYGONUM1185,6,0.0028,30
ALMELEC,AL4,POLYGONUM1185,7,0.00347,30
ALMELEC,AL4,POLYGONUM1185,8,0.00347,36
ACIER,ST6C,POLYGONUM1195,1,0.0028,1
ACIER,ST6C,POLYGONUM1195,2,0.0028,6
ACIER,ST6C,POLYGONUM1195,3,0.0028,12
ACIER,ST6C,POLYGONUM1195,4,0.0028,18
ALMELEC,AL4,POLYGONUM1195,5,0.0028,24
ALMELEC,AL4,POLYGONUM1195,6,0.0028,30
ALMELEC,AL4,POLYGONUM1195,7,0.0035,30
ALMELEC,AL4,POLYGONUM1195,8,0.0035,36
ACIER,ST6C,TERN,1,0.00225,1
ACIER,ST6C,TERN,2,0.00225,6
ALU,AL1,TERN,3,0.00338,9
ALU,AL1,TERN,4,0.00338,15
ALU,AL1,TERN,5,0.00338,21
ACIER,ST6C,THYM157,1,0.0026,1
ACIER,ST6C,THYM157,2,0.0026,6
ACIER,ST6C,THYM157,3,0.0026,12
ACIER,AL4,THYM157,4,0.002,19
